Gene	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20	Sample21	Sample22	Sample23	Sample24	Sample25	Sample26	Sample27	Sample28	Sample29	Sample30	Sample31	Sample32	Sample33	Sample34	Sample35	Sample36	Sample37	Sample38	Sample39	Sample40
MAEL	5.41	4.25	36.26	33.01	3.67	3.4	141.5	6.85	25.29	21.57	10.4	9.84	8.24	20.27	69.88	77.76	36.12	19.52	49.18	5.89	37.88	106.83	13.49	7.29	2.19	39.72	10.61	7.18	53.39	12.8	24.98	9.03	25.91	50.15	12.93	7.97	10.57	24.14	10.85	15.18
MAP3K5	378.56	412.54	744.82	432.82	214.51	359.29	515.98	449.79	893.48	591.55	311.03	445.42	580.72	141.91	263.74	158.51	195.07	628.26	108.89	680.66	461.12	227.85	353.95	266.95	395.02	522.48	697.01	626.53	242.38	465.54	644.79	1080.89	818.23	843.52	450.14	520.73	898.51	856.87	395.87	137.99
MAPK8	434	887.81	686.24	641.9	564.69	340.02	596.02	456.64	750.19	596.17	456.63	1031.1	481.88	248.35	347.6	347.93	445.77	514.81	375.86	1068.09	446.75	340.52	520.03	591.53	381.85	494.99	474.11	504.38	340.61	252.77	435.59	1064.47	520.94	822.46	281.98	579.18	1173.35	1025.83	355.2	684.42
MAPT	4.06	4.25	2.79	9.17	5.5	2.27	10.01	2.28	82.6	9.24	4.73	12.3	5.15	6.34	4.25	3.99	2.17	9.76	3.51	2.36	2.61	4.17	3.11	4.64	4.39	3.06	3.54	7.18	4.27	6.4	23.42	108.75	6.82	5.02	6.47	3.99	31.71	12.07	5.42	2.76
05-Mar	1062.68	1419.44	1178.6	1604.75	1004.71	768.44	1513.64	1191.84	939	1029.06	814.93	2303.36	1232.49	704.49	734.69	804.53	926.95	1152.82	1132.84	1679.27	940.53	948.94	756.69	941.95	838.32	897.29	1128.66	1225.75	826.44	601.53	686.95	1874.53	1299.63	1193.57	761.87	1006.93	1627.89	1882.71	905.62	695.46
MCL1	11263.64	10990.82	11841.79	24632.48	7753.53	7881.65	11220.08	19014.57	6200.43	11325.78	8312.86	23210.8	13644.94	6716.75	5015.22	5424.34	3394.25	12598.1	1747.55	16027.25	23434.75	3145.61	6790.51	6143.88	4051.16	12781.02	17055.46	13283.51	4359.62	35091.7	8558.75	13037.14	14058.64	9945.75	16245.04	5055.91	13985.04	14132.36	9254.14	2777.71
NF1	1034.29	1096.21	1139.55	698.75	1012.05	865.92	1462.18	897.3	1903.28	1463.48	1081.53	1934.23	1843.08	669.01	648.4	1012.89	991.25	1018.63	1046.78	2013.71	1589.75	852.13	992.32	833.98	625.45	860.62	903.99	821.96	737.81	763.11	560.49	1687.4	1200.08	1632.88	188.85	1083.98	1966.15	2232.7	836.48	629.23
NMT1	516.47	220.09	531.42	649.24	529.86	400.09	827.57	1157.59	643.98	536.1	466.08	671.81	304.78	375.05	299.59	374.85	338.12	509.93	470.7	429.83	305.67	433.99	348.76	584.91	754.93	743.5	796.07	589.16	578.72	350.36	582.34	664.37	669.59	773.31	569.14	646.93	739.95	663.77	351.13	445.01
NUPR1	4.06	1.06	22.32	7.34	7.33	6.8	5.72	13.7	25.29	4.62	3.78	12.3	2.06	15.2	2.43	1	2.89	8.54	5.27	10.6	3.92	3.34	8.3	7.95	8.78	12.22	21.23	25.87	5.34	14.4	57.77	10.26	2.73	20.06	2.59	14.61	42.28	12.07	12.2	4.14
PGAP2	144.67	154.17	210.61	311.78	330.02	206.28	195.82	159.82	205.67	198.72	243.91	182.1	224.46	119.1	157.39	164.49	181.34	129.31	233.59	229.63	222.07	189.45	168.15	319.28	160.2	162.96	321.97	158.07	180.45	124.78	137.39	235.55	244.11	247.74	125.47	221.84	126.85	205.17	185.73	278.74
PHLDA3	147.37	43.59	160.4	66.02	45.84	32.87	55.74	924.7	116.32	123.24	85.09	59.06	50.45	163.45	29.17	52.84	12.28	135.41	15.81	97.74	58.78	65.1	116.25	117.91	38.4	32.59	56.61	44.55	18.15	30.4	42.15	38.98	95.46	122.37	54.33	127.53	243.13	313.78	78.63	129.71
PIK3R1	4102.01	4431.63	2532.94	1531.39	1547.41	1890.51	993.37	566.24	2117.38	2036.55	1128.8	2037.59	2469.1	1652.26	1886.86	3855.16	2246.21	3307.2	500.56	3512.8	2199.78	1383.77	2274.23	1716.97	848.2	1274.13	1390.48	1528.95	1689.18	2617.28	6259.04	2518.38	2670.17	1558.66	1519.86	1572.83	1384.76	1279.27	1557.72	3373.82
PML	1110	525.25	560.71	1375.5	781.04	1462.08	688.93	614.18	1564.44	1039.84	923.65	1186.13	1491.97	1146.7	897.55	1104.61	997.03	1243.1	1297.93	964.46	1892.81	940.6	948.72	797.55	855.88	1209.97	1217.11	952.72	839.25	691.12	969.53	1377.58	1783.75	1099.29	1518.57	1121.17	1374.19	1399.96	1296.07	1175.66
PPP1R15A	767.94	716.63	874.53	2784.01	1041.38	776.38	1039.11	563.95	440	1180.03	2077.98	1597.1	579.69	755.17	638.68	454.6	434.22	666.08	669.16	1469.65	846.47	909.72	494.08	952.55	440.01	545.91	1241.88	2921.4	604.35	1084.67	437.15	1364.86	751.41	452.35	940.37	737.27	1458.76	1617.2	709.04	273.22
PRKCD	392.08	375.33	1048.88	660.24	190.68	581.43	2498.43	4134.89	1392.48	762.55	170.17	1156.6	50.45	943.97	671.49	471.55	386.53	3016.86	720.1	1016.28	350.08	731.95	768.11	176.2	2793.68	2769.27	2972.01	1217.13	1113.66	1441.42	612.01	1583.99	2194.23	1722.15	2033.38	298.89	940.79	929.28	634.48	298.75
PRKCZ	10.82	107.39	8.37	157.72	9.17	15.87	8.58	59.36	126.44	154.05	15.13	418.35	8.24	19.01	23.09	10.97	28.18	320.84	8.78	82.43	150.22	23.37	31.14	9.94	162.4	32.59	83.15	90.53	17.08	40	209.21	277.4	238.65	9.03	89.25	11.96	21.14	60.34	150.48	17.25
PRODH	1.35	4.25	182.72	91.7	5.5	77.07	1853.81	4.57	214.1	84.73	74.69	14.77	329.49	11.4	353.06	327.99	362.69	86.61	270.48	8.24	431.07	246.21	193.07	54.98	44.99	663.04	38.92	27.3	538.15	155.18	6.24	307.77	158.19	188.56	78.9	71.73	21.14	24.14	257.59	128.33
PTBP1	3471.97	4176.45	4731.14	3726.69	3949.19	2615.88	4249.34	4433.99	3115.39	3321.32	3301.32	6523.73	2929.36	3599.75	2736.4	2913.05	3621.83	4877.24	3626.83	6896.07	2131.86	2714.96	3048.57	4379.88	3100.92	3743.97	2724.34	4273.6	3406.12	2775.66	2532.34	4407.68	3418.86	3877.6	3434.24	3581.38	3805.45	4211.95	2277.61	2604.53
PTGER2	137.91	384.9	1072.6	3060.95	3591.67	1224.07	593.16	2137.08	679.38	799.52	1259.27	142.73	609.55	821.06	990.53	761.66	764.39	261.06	1046.78	187.24	424.54	1017.38	552.21	2214.45	828.45	819.88	1282.56	1582.12	1107.26	2450.9	1417.61	844.93	1618.74	984.95	1781.15	1859.77	116.28	168.96	770.05	1117.71
PTHLH	8.11	13.82	26.5	12.84	20.17	15.87	14.29	20.55	16.86	9.24	8.51	194.41	8.24	7.6	7.9	9.97	5.06	4.88	8.78	14.13	5.23	7.51	21.8	11.92	10.97	12.22	12.38	10.06	9.61	14.4	12.49	16	15	14.04	6.47	9.3	274.84	253.44	12.2	9.66
RAB25	14.87	27.64	5.58	9.17	7.33	6.8	15.72	20.55	26.97	4.62	18.91	17.23	10.3	7.6	8.51	7.98	8.67	4.88	12.29	12.95	9.14	7.51	13.49	16.56	7.68	8.15	7.08	7.18	16.02	14.4	10.93	15.18	12.27	11.03	11.64	10.63	21.14	12.07	6.78	4.83
RAC2	1783.31	624.13	1086.54	2285.17	1063.38	1915.44	2055.35	4545.87	2164.59	1529.72	592.76	1550.34	1710.25	1440.66	1871.67	2099.55	1810.55	3791.51	2771.5	1390.76	1839.25	1666.7	1456.3	1119.48	2161.65	2537.06	3078.16	1758.87	1820.51	2332.51	2418.37	1512.59	3165.21	1931.78	1805.72	1130.47	1289.63	1146.52	1945.46	3213.75
RRP8	39.21	38.28	50.21	67.86	44	45.34	75.75	54.8	69.12	44.67	52	78.75	70.02	40.55	38.89	46.86	51.3	71.98	117.67	56.53	96.67	60.09	46.71	84.13	71.32	67.22	31.84	57.48	44.85	40	51.52	66.89	54.55	86.26	25.87	75.72	147.99	205.17	56.94	57.96
SCN2A	1.35	6.38	64.16	133.88	260.35	226.68	2.86	6.85	546.2	7.7	123.85	238.7	10.3	5.07	6.08	80.75	5.06	4.88	8.78	4.71	6.53	16.69	31.14	70.88	10.97	6.11	35.38	10.06	30.96	9.6	9.37	6.57	15	1293.87	5.17	38.52	433.4	374.13	9.49	8.28
SFN	28.39	10.63	8.37	11	7.33	9.07	10.01	18.27	38.77	32.35	7.56	14.77	10.3	5.07	11.55	8.97	18.06	29.28	5.27	16.49	18.29	9.18	35.29	4.64	10.97	9.17	10.61	64.66	11.75	19.2	32.79	13.13	34.09	11.03	5.17	6.64	10.57	36.21	32.54	13.11
SIVA1	1089.72	1162.13	1234.39	1423.19	1254.06	838.71	910.47	1013.75	1075.55	1418.8	1090.04	1319.02	938.01	1021.26	950.42	1046.79	1054.11	1155.26	1682.57	1616.86	770.71	883.01	867.76	1193.01	899.77	878.96	780.15	1309.1	1286.64	867.09	864.93	822.77	865.97	898.69	666.15	1004.27	993.65	989.63	692.77	937.63
ST20	64.9	89.31	61.37	265.93	166.84	117.87	264.42	194.07	187.13	98.59	77.52	91.05	120.47	65.89	141.59	95.71	118.49	134.19	161.58	135.42	184.19	71.78	155.7	219.26	223.85	140.55	118.53	274.46	151.62	87.99	135.83	249.5	343.66	271.81	84.08	236.46	253.7	241.37	123.37	97.97
STAT3	978.86	1211.04	1880.18	1533.23	969.88	1458.68	1496.49	1956.71	2307.88	2139.76	831.95	2416.56	1622.73	947.77	1064.06	1202.31	1470.98	1798.16	1262.8	1384.87	2172.35	1108.35	1169.81	1200.96	1247.61	1349.5	2464.29	1391	1301.59	2530.89	1834.46	1583.99	2408.34	1504.5	2332.18	1519.7	1353.05	1134.45	1392.32	1063.89
STAT5B	774.7	714.5	1023.78	1353.49	942.38	952.05	1252.08	650.71	824.36	1694.55	798.86	2086.81	1152.18	596.79	1002.07	723.78	1236.9	975.94	1371.7	1461.41	1208.31	876.33	696.49	1101.59	839.42	744.52	1776.13	1356.52	1180.93	1263.85	1768.89	1295.51	1596.92	1291.86	805.85	1167.67	1458.76	1448.24	1144.23	947.98
TCF4	1883.36	129.72	334.75	231.08	110.01	290.15	11.43	18.27	831.11	460.61	32.14	888.37	717.67	248.35	124.58	170.48	117.04	489.19	166.85	359.17	374.9	41.73	465.02	150.37	425.75	150.74	405.11	94.84	120.66	190.38	96.8	304.49	204.56	668	100.89	374.61	465.11	579.29	291.48	563.68
TNFSF4	231.19	53.16	73.92	471.34	60.5	337.75	60.03	324.22	878.31	360.48	232.57	563.54	708.4	143.18	66.85	81.75	42.63	132.97	158.07	58.88	364.45	147.72	257.42	117.91	374.17	153.79	159.21	99.15	96.1	40	154.56	468.63	511.4	710.12	140.99	326.79	200.84	193.1	252.16	329.1
TRADD	58.14	38.28	47.42	97.2	47.67	61.2	75.75	130.14	144.98	64.7	53.89	155.03	44.28	78.56	52.87	47.85	44.07	118.33	80.79	89.5	40.49	61.76	65.39	82.8	89.98	93.7	113.22	70.41	38.44	75.19	176.42	110.8	79.1	91.27	58.21	71.73	73.99	120.69	93.54	73.13
TRAF5	405.6	593.29	313.83	111.87	524.36	1228.6	697.5	162.11	1931.94	659.34	267.55	408.5	1271.62	51.95	580.95	454.6	804.13	334.26	665.65	778.4	3018.82	584.22	671.58	345.78	156.91	298.42	385.65	215.55	503.98	187.18	910.21	1588.91	550.94	1037.1	490.24	644.28	1353.05	1520.65	611.43	171.11
TRAF6	838.25	963.3	863.38	788.62	599.53	717.44	807.56	468.06	723.21	774.87	505.79	1690.61	660.01	486.56	522	708.82	806.3	1010.09	590.13	1318.92	650.53	524.96	633.17	514.03	621.06	573.41	842.07	1021.7	665.21	665.52	1081.94	1156.39	1511.01	727.18	752.82	652.25	930.22	844.8	688.71	558.16
UBE2K	1831.98	1705.45	3075.52	1995.39	1705.08	1475.68	2228.29	2360.84	2205.05	1623.69	1638.37	3489.5	1818.36	1505.28	1368.51	1300.01	1322.87	2247.09	1391.02	2584.85	1750.42	1842.8	1408.55	1895.16	1731.51	1921.89	2011.42	2491.74	1559.98	1345.44	1375.46	2626.3	1924.22	3525.55	1518.57	1693.72	2314.98	2220.63	1453.33	1201.19
WWOX	721.98	898.45	873.14	1478.21	707.7	502.1	859.02	344.76	952.49	516.07	826.27	654.59	722.82	476.42	458.19	627.07	525.97	645.34	591.88	947.97	398.42	706.07	646.67	562.39	519.01	653.87	500.64	531.69	575.52	294.36	596.4	981.99	672.32	937.81	457.9	676.16	1025.36	1025.83	582.96	280.81
ZMAT3	999.14	489.1	1972.24	715.26	775.54	1307.94	1490.77	1543.45	1412.71	647.01	509.57	986.8	893.74	829.93	1412.26	1491.42	1669.67	747.81	2126.92	1136.39	1001.92	2068.98	1669.08	856.5	465.25	540.82	1190.57	445.47	927.87	571.13	1270.85	1143.67	1798.75	1666.99	957.19	1034.83	1247.34	1243.07	530.09	2847.39
ZNF385C	35.15	58.48	48.82	122.88	225.51	47.6	202.96	66.21	92.72	195.64	349.8	86.13	92.67	909.76	235.78	188.42	440.72	313.52	612.96	49.46	44.41	116.84	112.1	376.25	89.98	58.05	46	53.17	620.36	79.99	32.79	82.07	150.01	109.33	59.5	106.27	63.42	36.21	120.66	44.16
ZNF385D	9.46	4.25	22.32	9.17	1.83	65.74	220.11	6.85	23.6	32.35	1.89	9.84	3.09	12.67	32.81	24.92	315	13.42	421.52	3.53	101.89	9.18	6.23	3.31	8.78	11.2	30.07	22.99	162.3	9.6	28.1	9.44	155.46	10.03	9.05	3.99	10.57	12.07	48.81	31.05
B2M	73602.34	63631.27	63714.12	52624.85	67842.03	77704.62	39326.03	48993.11	74182.59	157078.95	89470.26	26237.66	62102.41	80603.48	86246.26	97336.09	79024.25	122328.61	44986.75	27702.05	53773.21	57156.86	60768.96	66359.89	69423.93	65491.9	98110.02	77199.27	79135.16	112563.81	139729.98	58378.65	91034.09	50579.31	130370.38	91183.08	36965.76	39573.02	69270.5	99456.61
GAPDH	26477.86	36940.5	54678.66	28678.29	53286.51	41954.99	56473.46	83522.09	49372.45	48092.97	44778.62	66484.98	45539.43	46357.07	35622.48	44524.27	31726.6	29187.79	37511.79	47012.47	43184.47	27129.56	34082.31	44060.41	54112.45	58858.48	46968.41	28121.84	39320.93	53022.3	21109.61	49232.55	44622.44	41986.61	54605.02	44707.49	37726.85	39729.92	32462.71	34470.22
SDHA	743.61	348.75	461.68	599.72	337.35	384.22	483.11	611.9	507.43	417.48	343.18	534.01	611.61	377.59	342.13	511.43	454.44	577.02	570.81	732.47	489.86	539.15	411.04	557.09	579.36	467.49	882.76	811.9	464.47	495.94	808.73	398.87	510.03	639.91	530.33	468.93	771.66	663.77	604.65	469.85
TBP	565.14	603.93	528.63	641.9	727.87	550.83	808.99	625.6	579.92	512.99	577.64	610.29	609.55	427	506.81	596.17	705.87	663.64	690.24	824.33	572.15	639.3	514.84	733.29	704.45	594.8	626.25	768.79	775.19	399.95	766.57	831.8	823.69	774.32	547.15	779.77	708.24	687.91	538.22	549.19
TPT1	100130.23	137443.16	94852.86	121009.27	129862.95	65121.64	96827.16	70975.86	108008.46	93562.46	131956.3	76842.72	93555.18	64749.88	70946.59	62094.32	68423.91	59362.48	95985.42	94617.27	62550.14	68464.88	77126.6	97480.73	99163.56	94248.94	49354.87	27972.4	83820.45	92395.09	56960.51	68824.37	77632.77	95378.33	81615.85	92593.85	78656.62	80413.26	39986.96	70986.13
UBB	40423.89	48718.12	41104.54	47152.19	28757.19	73777.4	39443.23	29816.44	28476.78	21899.79	31631.96	75882.98	33606.8	84981.21	87710.78	40401.93	60239.57	40842.89	51943.59	44554.8	81428.57	90590.17	98062.8	28471.18	21802.99	32814.7	26366	87455.06	35299.79	30306.69	31826.01	50510.41	25021.62	33029.81	19662.46	24017.57	55295.36	57422.52	113282.59	52788.89
